,national_inv,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
255380,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.78,0,0,0,1,0,0
274831,80.0,644.0,1091.0,1569.0,210.0,616.0,921.0,1338.0,0,0.0,1.0,0.99,0,0,0,1,0,0
1337161,98.0,0.0,0.0,0.0,1.0,3.0,7.0,12.0,0,0.0,0.79,0.78,0,0,0,1,0,0
451428,20.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,0,0.0,0.47,0.39,0,0,0,1,0,0
1271693,202.0,224.0,504.0,770.0,88.0,272.0,585.0,842.0,0,0.0,0.33,0.32,0,0,0,1,0,0
1662480,9.0,0.0,10.0,10.0,0.0,3.0,9.0,12.0,0,0.0,0.9,0.89,0,0,0,1,0,0
1628033,6.0,6.0,6.0,8.0,1.0,5.0,8.0,9.0,0,0.0,0.57,0.7,0,0,1,1,0,0
976562,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.63,0.72,1,0,0,1,0,0
1362052,4.0,3.0,9.0,13.0,0.0,3.0,8.0,13.0,0,0.0,0.99,0.98,0,0,0,1,0,0
698097,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.95,0.97,0,0,0,1,0,0
276281,133.0,0.0,0.0,0.0,8.0,23.0,37.0,44.0,0,0.0,0.86,0.84,0,0,0,1,0,0
1505365,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.64,0.68,0,0,0,1,0,0
760822,0.0,0.0,0.0,0.0,0.0,3.0,56.0,56.0,0,0.0,-99.0,-99.0,0,0,0,1,1,0
1091094,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0,0.0,0.87,0.78,0,0,0,1,0,0
506772,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
589625,6.0,14.0,35.0,56.0,8.0,21.0,39.0,54.0,0,0.0,0.87,0.9,0,0,0,1,0,0
795850,121.0,0.0,0.0,0.0,5.0,21.0,44.0,69.0,0,0.0,0.95,0.95,0,0,0,1,0,0
890578,47.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.86,0.69,0,0,0,1,0,0
103051,77.0,46.0,86.0,128.0,42.0,86.0,116.0,146.0,0,0.0,0.99,0.99,0,0,0,1,0,0
1412601,302.0,0.0,0.0,0.0,23.0,68.0,152.0,229.0,0,0.0,-99.0,-99.0,0,0,0,1,0,0
960153,3475.0,2208.0,7665.0,11759.0,969.0,3836.0,9039.0,16399.0,0,0.0,0.83,0.86,0,0,0,1,0,0
572591,4.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0,0.0,0.19,0.5,0,0,0,1,0,0
282559,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.71,0.66,1,0,0,1,0,0
414134,27.0,49.0,99.0,129.0,15.0,28.0,61.0,90.0,0,3.0,0.85,0.83,0,0,0,1,0,0
812686,677.0,0.0,0.0,0.0,39.0,98.0,236.0,459.0,0,0.0,0.89,0.88,0,0,0,1,0,0
463585,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.78,0,0,0,1,0,0
273555,1840.0,0.0,0.0,0.0,22.0,167.0,569.0,726.0,0,0.0,0.73,0.78,0,0,1,1,0,0
810155,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.68,0.66,0,0,1,1,0,0
412804,5.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,0,0.0,0.0,0.0,0,0,0,1,0,0
1305527,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.46,0.68,0,0,1,1,0,0
504299,9.0,10.0,26.0,44.0,3.0,16.0,24.0,33.0,0,0.0,0.99,0.99,0,0,0,1,0,0
178176,40.0,132.0,132.0,132.0,6.0,28.0,90.0,113.0,0,0.0,0.34,0.37,0,0,0,1,0,0
680678,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0.99,0,0,0,1,0,0
1337666,1.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0,0.0,0.73,0.79,0,0,0,1,0,0
1583389,0.0,0.0,0.0,0.0,0.0,2.0,13.0,51.0,0,0.0,0.1,0.08,0,0,0,1,0,0
89616,385.0,972.0,1728.0,2565.0,330.0,906.0,1730.0,2521.0,0,0.0,0.89,0.94,0,0,0,1,0,0
1664641,131.0,28.0,70.0,112.0,12.0,55.0,126.0,182.0,0,0.0,1.0,0.99,0,0,0,1,0,0
1401289,61.0,96.0,188.0,295.0,51.0,136.0,291.0,431.0,0,0.0,0.8,0.79,0,0,0,1,0,0
1617376,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.89,0.93,0,0,0,1,0,0
1078173,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.73,1,0,0,1,0,0
766604,39.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0,0.0,0.93,0.85,0,0,0,1,0,0
1390694,349.0,208.0,468.0,624.0,64.0,165.0,335.0,459.0,0,0.0,0.98,0.97,0,0,0,1,0,0
1621307,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.62,0.62,0,0,0,0,0,0
520243,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,1,0,0
921931,52.0,29.0,59.0,97.0,11.0,34.0,74.0,119.0,0,0.0,0.89,0.94,0,0,0,1,0,0
333866,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.91,0.84,0,0,0,1,0,0
302726,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,0.5,0,0,0,1,0,0
80747,78.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,0,0.0,0.96,0.93,0,0,0,1,0,0
859980,0.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.96,1,0,0,1,0,0
1278051,6.0,0.0,4.0,8.0,1.0,3.0,8.0,13.0,0,0.0,0.85,0.82,0,0,0,1,0,0
1555539,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,0.92,0,0,0,1,0,0
1579798,83.0,77.0,158.0,239.0,28.0,80.0,162.0,249.0,0,0.0,0.98,0.95,0,0,0,1,0,0
1341200,15.0,28.0,68.0,116.0,5.0,16.0,16.0,16.0,0,0.0,0.98,0.98,0,0,0,1,0,0
915618,4.0,0.0,1.0,3.0,0.0,1.0,4.0,5.0,0,0.0,0.9,0.82,0,0,1,1,0,0
40341,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.58,0.58,1,0,0,1,0,0
744587,14.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0,0.0,0.17,0.33,0,0,0,1,0,0
1252328,7.0,12.0,24.0,36.0,4.0,8.0,15.0,22.0,0,0.0,0.83,0.86,0,0,1,1,0,0
1087415,8.0,2.0,5.0,10.0,0.0,2.0,7.0,18.0,0,0.0,0.88,0.68,0,0,1,1,0,0
1632658,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.68,0.77,0,0,0,1,0,0
395024,11.0,14.0,44.0,44.0,7.0,16.0,29.0,63.0,0,0.0,1.0,0.99,0,0,0,1,0,0
1425233,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.79,0.66,0,0,0,1,0,0
879049,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.98,0.99,0,0,0,1,0,0
340893,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,0.73,0.78,0,0,0,1,0,0
1542535,27171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,0,0,1,1,0,0
1646804,39.0,0.0,0.0,48.0,9.0,21.0,41.0,70.0,0,0.0,0.91,0.92,0,0,0,1,0,0
33580,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.91,0.86,1,0,0,1,0,0
889710,841.0,0.0,0.0,0.0,2.0,3.0,4.0,18.0,0,0.0,0.0,0.0,0,0,0,1,0,0
81987,16.0,2.0,6.0,12.0,3.0,6.0,11.0,13.0,0,0.0,0.91,0.81,1,0,0,1,0,0
727485,51.0,42.0,96.0,168.0,12.0,38.0,81.0,119.0,0,0.0,0.86,0.88,0,0,0,1,0,0
1316954,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.57,0.68,1,0,0,1,0,0
917572,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.89,0.88,0,0,0,1,0,0
1515229,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.89,0.88,1,0,0,1,0,0
99809,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.24,0.14,1,0,0,1,0,0
827002,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0.97,0,0,0,1,0,0
322648,2190.0,1536.0,2112.0,3168.0,2214.0,6302.0,10050.0,14708.0,0,0.0,-99.0,0.44,0,0,0,0,0,0
1408749,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.84,0.82,0,0,1,1,0,0
805670,43.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
1473071,3.0,0.0,1.0,3.0,0.0,1.0,3.0,6.0,0,0.0,0.78,0.75,0,0,0,1,0,0
975234,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.78,0.78,0,0,0,1,0,0
1209982,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.77,0.8,0,0,0,1,0,0
747116,470.0,0.0,0.0,0.0,11.0,21.0,21.0,21.0,0,0.0,0.68,0.75,0,0,0,1,0,0
303313,25.0,0.0,10.0,45.0,4.0,36.0,43.0,56.0,0,0.0,0.95,0.72,0,0,0,1,0,0
1418376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.24,0.14,1,0,0,1,0,0
155637,35.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0,0.0,0.13,0.09,0,0,1,1,0,0
395699,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.66,0,0,0,1,0,0
530377,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.78,0.78,0,0,0,1,0,0
300131,179.0,0.0,0.0,0.0,3.0,16.0,42.0,89.0,0,0.0,-99.0,-99.0,0,0,0,0,0,0
1408705,70.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.87,0.9,1,0,1,0,0,0
1513707,54.0,97.0,97.0,191.0,13.0,45.0,95.0,151.0,0,0.0,1.0,0.96,0,0,0,1,0,0
219821,6.0,16.0,32.0,48.0,6.0,14.0,30.0,44.0,0,0.0,0.87,0.68,0,0,0,1,0,0
1030910,8.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,0,0.0,0.87,0.82,0,0,0,1,0,0
469833,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.91,0.84,0,0,0,1,0,0
788125,5.0,8.0,24.0,32.0,2.0,8.0,19.0,20.0,0,0.0,0.98,0.98,0,0,0,1,0,0
1151491,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.98,0.98,0,0,0,1,0,0
1640857,3.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
1586574,195.0,0.0,0.0,0.0,24.0,74.0,130.0,199.0,0,0.0,-99.0,-99.0,0,0,1,0,0,0
950973,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.97,0.97,0,0,0,1,0,0
237055,31.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.92,0.97,0,0,0,1,0,0
1367599,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0,0.0,0.73,0.78,0,0,0,1,0,0
809201,49.0,0.0,50.0,50.0,7.0,22.0,47.0,79.0,0,0.0,0.85,0.92,0,0,0,1,0,0
802236,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.78,0,0,0,1,0,0
263879,116.0,0.0,0.0,0.0,12.0,41.0,98.0,218.0,0,0.0,0.73,0.78,0,0,0,1,0,0
446889,13.0,0.0,0.0,3.0,0.0,5.0,5.0,15.0,0,0.0,0.98,0.98,0,0,0,1,0,0
519731,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.84,0.82,0,0,0,1,0,0
568350,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.43,0.45,0,0,0,1,0,0
946369,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.7,0.66,1,0,0,1,0,0
1456933,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.95,0.97,0,0,0,1,0,0
511898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.97,0.94,0,0,0,1,0,0
129046,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.86,0.84,0,0,0,1,0,0
628029,78.0,0.0,42.0,84.0,6.0,24.0,65.0,104.0,0,0.0,0.85,0.83,0,0,0,1,0,0
66053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.48,0.48,1,0,0,1,0,0
249038,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,1,0,0
1501890,432.0,120.0,360.0,720.0,97.0,429.0,956.0,1382.0,0,0.0,0.97,0.93,0,0,0,1,0,0
907492,89.0,220.0,270.0,358.0,42.0,117.0,264.0,549.0,0,0.0,0.7,0.77,1,0,1,0,0,0
453404,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.68,0.66,0,0,0,1,0,0
702175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.79,1,0,0,1,0,0
1103250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,0,0,0,1,0,0
177121,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
525022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
1337918,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0.0,0.73,0.78,1,0,0,1,0,0
779467,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.97,0,0,0,1,0,0
1669566,1.0,32.0,63.0,94.0,9.0,40.0,61.0,105.0,0,0.0,0.96,0.9,0,0,0,1,0,0
1503260,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0,0,0,1,0,0
507869,14.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,0,0.0,0.43,0.71,1,0,0,1,0,0
